Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
55	36	0	0.801177934	99999.9731	99999.9759	99999.9731	99999.9811	0.00792487169	0	0	24.1704	0	0	3
56	37	0	0.815744806	99999.9731	99999.9757	99999.9731	99999.9803	0.00725155366	0	0	24.1834	0	0	3
57	37	0	0.830311678	99999.973	99999.9755	99999.973	99999.9798	0.00677325536	0	0	24.0899	0	0	3
58	38	0	0.844878549	99999.973	99999.9753	99999.973	99999.9795	0.00653862435	0	0	23.9843	0	0	3
59	38	0	0.859445421	99999.9729	99999.9751	99999.9729	99999.9791	0.00624495547	0	0	23.8737	0	0	3
60	39	0	0.874012292	99999.9728	99999.9749	99999.9728	99999.9789	0.00607949267	0	0	23.812	0	0	3
61	40	0	0.888579164	99999.9727	99999.9747	99999.9727	99999.9784	0.00573655609	0	0	23.7403	0	0	3
62	40	0	0.903146035	99999.9726	99999.9746	99999.9726	99999.9782	0.00552288715	0	0	23.707	0	0	3
63	41	0	0.917712907	99999.9726	99999.9744	99999.9726	99999.9779	0.00534346925	0	0	23.7197	0	0	3
64	41	0	0.932279778	99999.9725	99999.9742	99999.9725	99999.9777	0.00515232202	0	0	23.678	0	0	3
65	42	0	0.94684665	99999.9725	99999.9741	99999.9725	99999.9775	0.00495190884	0	0	23.739	0	0	3
66	43	0	0.961413521	99999.9726	99999.974	99999.9725	99999.9771	0.00458477592	0	0	23.8927	0	0	3
67	43	0	0.975980393	99999.9727	99999.9738	99999.9725	99999.9768	0.00423279537	0	0	24.0336	0	0	3
68	44	0	0.990547264	99999.9728	99999.9737	99999.9725	99999.9765	0.00395661795	0	0	24.1501	0	0	3
69	45	0	1.00511414	99999.9729	99999.9736	99999.9725	99999.9763	0.00372725044	0.000999999729	26.8	24.2963	0	0	3
70	45	0	1.01968101	99999.9731	99999.9735	99999.9725	99999.9761	0.0035625341	0.000999999731	28	24.4481	0	0	3
71	46	0	1.03424788	99999.9733	99999.9734	99999.9725	99999.9758	0.00326130468	0.000999999733	30.6	24.6038	0	0	3
72	46	0	1.04881475	99999.9736	99999.9734	99999.9725	99999.9754	0.00287693563	0.000999999736	34.7	24.7655	0	0	3
73	47	0	1.06338162	99999.9738	99999.9733	99999.9725	99999.975	0.00248899695	0.000999999738	40.1	24.9707	0	0	3
74	48	0	1.07794849	99999.974	99999.9733	99999.9725	99999.9747	0.00216229254	0.00099999974	46.2	25.1358	0	0	3
75	48	0	1.09251537	99999.9742	99999.9733	99999.9725	99999.9745	0.0019904222	0.000999999742	50.2	25.3178	0	0	3
76	49	0	1.10708224	99999.9744	99999.9733	99999.9725	99999.9744	0.0018499315	0.000999999744	54	25.466	0	0	3
77	49	0	1.12164911	99999.9745	99999.9733	99999.9725	99999.9745	0.0020024899	0.000999999745	49.9	25.6063	0	0	3
78	50	0	1.13621598	99999.9747	99999.9733	99999.9725	99999.9747	0.00213509845	0.000999999747	46.8	25.7701	0	0	3
79	51	0	1.15078285	99999.9748	99999.9733	99999.9725	99999.9748	0.00225863011	0.000999999748	44.2	25.8597	0	0	3
80	51	0	1.16534972	99999.9749	99999.9734	99999.9725	99999.9749	0.00236318716	0.000999999749	42.3	26.0018	0	0	3
81	52	0	1.17991659	99999.975	99999.9734	99999.9725	99999.975	0.00244918093	0.00099999975	40.8	26.0798	0	0	3
82	53	0	1.19448347	99999.975	99999.9734	99999.9725	99999.975	0.00251338894	0.00099999975	39.7	26.2171	0	0	3
83	53	0	1.20905034	99999.9751	99999.9735	99999.9725	99999.9751	0.00258329345	0.000999999751	38.7	26.2648	0	0	3
84	54	0	1.22361721	99999.9752	99999.9735	99999.9725	99999.9752	0.00264955596	0.000999999752	37.7	26.3862	0	0	3
85	55	0	1.23818408	99999.9752	99999.9736	99999.9725	99999.9752	0.00271538208	0.000999999752	36.8	26.4154	0	0	3
86	55	0	1.25275095	99999.9753	99999.9736	99999.9725	99999.9753	0.00276277159	0.000999999753	36.1	26.5139	0	0	3
87	56	0	1.26731782	99999.9753	99999.9737	99999.9725	99999.9753	0.00281922343	0.000999999753	35.4	26.5123	0	0	3
88	57	0	1.2818847	99999.9754	99999.9738	99999.9725	99999.9754	0.00284963116	0.000999999754	35	26.5804	0	0	3
89	57	0	1.29645157	99999.9754	99999.9738	99999.9725	99999.9754	0.00261123279	0.000999999754	38.2	26.5655	0	0	3
90	58	0	1.31101844	99999.9754	99999.9739	99999.9725	99999.9754	0.00238264851	0.000999999754	41.9	26.6261	0	0	3
91	59	0	1.32558531	99999.9755	99999.974	99999.9725	99999.9755	0.00217419592	0.000999999755	45.9	26.6133	0	0	3
92	59	0	1.34015218	99999.9755	99999.974	99999.9725	99999.9755	0.00197861683	0.000999999755	50.5	26.6758	0	0	3
93	60	0	1.35471905	99999.9755	99999.9741	99999.9725	99999.9755	0.00178979698	0.000999999755	55.8	26.6667	0	0	3
94	60	0	1.36928592	99999.9756	99999.9742	99999.9725	99999.9756	0.00160887907	0.000999999756	62.1	26.7301	0	0	3
95	61	0	1.3838528	99999.9756	99999.9743	99999.9725	99999.9756	0.00143279567	0.000999999756	69.7	26.7175	0	0	3
96	61	0	1.39841967	99999.9757	99999.9743	99999.9725	99999.9757	0.00126653018	0.000999999757	78.9	26.7697	0	0	3
97	62	0	1.41298654	99999.9757	99999.9744	99999.9725	99999.9757	0.00115186651	0.000999999757	86.8	26.7469	0	0	3
98	63	0	1.42755341	99999.9757	99999.9745	99999.9725	99999.9757	0.00124244951	0.000999999757	80.4	26.8019	0	0	3
99	63	0	1.44212028	99999.9758	99999.9746	99999.9725	99999.9758	0.00133529624	0.000999999758	74.8	26.8252	0	0	3
100	64	0	1.45668715	99999.9758	99999.9747	99999.9726	99999.9758	0.00142872351	0.000999999758	69.9	26.896	0	0	3
101	65	0	1.47125403	99999.9758	99999.9748	99999.9727	99999.9758	0.00152211056	0.000999999758	65.6	26.9181	0	0	3
102	65	0	1.4858209	99999.9759	99999.9749	99999.9728	99999.9759	0.0016134148	0.000999999759	61.9	26.9819	0	0	3
103	66	0	1.50038777	99999.9759	99999.975	99999.9729	99999.9759	0.00170225363	0.000999999759	58.7	26.9967	0	0	3
104	67	0	1.51495464	99999.9759	99999.9751	99999.9731	99999.9759	0.00178664341	0.000999999759	55.9	27.0527	0	0	3
105	68	0	1.52952151	99999.9759	99999.9752	99999.9733	99999.9759	0.00186656101	0.000999999759	53.5	26.9622	0	0	3
106	68	0	1.54408838	99999.9759	99999.9752	99999.9736	99999.9759	0.00194060805	0.000999999759	51.5	26.9569	0	0	3
107	69	0	1.55865525	99999.976	99999.9753	99999.9738	99999.976	0.00200895571	0.00099999976	49.7	26.8644	0	0	3
108	70	0	1.57322213	99999.976	99999.9754	99999.974	99999.976	0.00195996684	0.00099999976	51	26.9095	0	0	3
109	70	0	1.587789	99999.976	99999.9754	99999.9742	99999.976	0.00179753671	0.00099999976	55.6	26.8762	0	0	3
110	71	0	1.60235587	99999.976	99999.9755	99999.9744	99999.976	0.00162527371	0.00099999976	61.5	26.9117	0	0	3
111	71	0	1.61692274	99999.976	99999.9755	99999.9745	99999.976	0.00148897387	0.00099999976	67.1	26.8501	0	0	3
112	72	0	1.63148961	99999.976	99999.9756	99999.9747	99999.976	0.00135833258	0.00099999976	73.6	26.9168	0	0	3
113	73	0	1.64605648	99999.976	99999.9756	99999.9748	99999.976	0.00124886031	0.00099999976	80	26.8531	0	0	3
114	74	0	1.66062336	99999.976	99999.9756	99999.9749	99999.976	0.00114430326	0.00099999976	87.3	26.9208	0	0	3
115	74	0	1.67519023	99999.976	99999.9757	99999.975	99999.976	0.00106515603	0.00099999976	93.8	26.8607	0	0	3
116	75	0	1.6897571	99999.976	99999.9757	99999.975	99999.976	0.00100094802	0.00099999976	99.9	26.926	0	0	3
117	75	0	1.70432397	99999.976	99999.9757	99999.9751	99999.976	0.000936410011	0.00099999976	100	26.8571	0	0	3
