Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
44	28	0	0.640942348	0	0	0	0	0	0	0	0	0	0	3
45	29	0	0.655509219	0	0	0	0	0	0	0	0	0	0	3
46	29	0	0.670076091	0	0	0	0	0	0	0	0	0	0	3
47	30	0	0.684642962	0	0	0	0	0	0	0	0	0	0	3
48	31	0	0.699209834	0	0	0	0	0	0	0	0	0	0	3
49	32	0	0.713776705	0	0	0	0	0	0	0	0	0	0	3
50	32	0	0.728343577	0	0	0	0	0	0	0	0	0	0	3
51	33	0	0.742910448	0	0	0	0	0	0	0	0	0	0	3
52	34	0	0.75747732	0	0	0	0	0	0	0	0	0	0	3
53	35	0	0.772044191	0	0	0	0	0	0	0	0	0	0	3
54	35	0	0.786611063	0	0	0	0	0	0	0	0	0	0	3
55	36	0	0.801177934	0	0	0	0	0	0	0	0	0	0	3
56	37	0	0.815744806	0	0	0	0	0	0	0	0	0	0	3
57	37	0	0.830311678	0	0	0	0	0	0	0	0	0	0	3
58	38	0	0.844878549	0	0	0	0	0	0	0	0	0	0	3
59	38	0	0.859445421	0	0	0	0	0	0	0	0	0	0	3
60	39	0	0.874012292	0	0	0	0	0	0	0	0	0	0	3
61	40	0	0.888579164	0	0	0	0	0	0	0	0	0	0	3
62	40	0	0.903146035	0	0	0	0	0	0	0	0	0	0	3
63	41	0	0.917712907	0	0	0	0	0	0	0	0	0	0	3
64	41	0	0.932279778	0	0	0	0	0	0	0	0	0	0	3
65	42	0	0.94684665	0	0	0	0	0	0	0	0	0	0	3
66	43	0	0.961413521	0	0	0	0	0	0	0	0	0	0	3
67	43	0	0.975980393	0	0	0	0	0	0	0	0	0	0	3
68	44	0	0.990547264	0	0	0	0	0	0	0	0	0	0	3
69	45	0	1.00511414	0	0	0	0	0	5e-006	100	0	0	0	3
