Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
55	36	0	0.801177934	300.000035	300.000031	300.000026	300.000035	8.25712385e-006	0	0	0.0201066	0	0	3
56	37	0	0.815744806	300.000035	300.000031	300.000027	300.000035	8.20775034e-006	0	0	0.0203294	0	0	3
57	37	0	0.830311678	300.000035	300.000032	300.000027	300.000035	8.13061467e-006	0	0	0.0200259	0	0	3
58	38	0	0.844878549	300.000035	300.000032	300.000027	300.000035	8.07979706e-006	0	0	0.0202333	0	0	3
59	38	0	0.859445421	300.000035	300.000032	300.000027	300.000035	8.0046774e-006	0	0	0.0199707	0	0	3
60	39	0	0.874012292	300.000036	300.000032	300.000028	300.000036	7.84997553e-006	0	0	0.0202194	0	0	3
61	40	0	0.888579164	300.000036	300.000033	300.000028	300.000036	7.71040391e-006	0	0	0.0199627	0	0	3
62	40	0	0.903146035	300.000036	300.000033	300.000028	300.000036	7.565722e-006	0	0	0.0201952	0	0	3
63	41	0	0.917712907	300.000036	300.000033	300.000029	300.000036	7.47357768e-006	0	0	0.0199467	0	0	3
64	41	0	0.932279778	300.000036	300.000033	300.000029	300.000036	7.33049899e-006	0	0	0.0201696	0	0	3
65	42	0	0.94684665	300.000037	300.000033	300.000029	300.000037	7.09035936e-006	0	0	0.0199122	0	0	3
66	43	0	0.961413521	300.000037	300.000034	300.00003	300.000037	6.83287396e-006	0	0	0.0201499	0	0	3
67	43	0	0.975980393	300.000037	300.000034	300.00003	300.000037	6.64134274e-006	0	0	0.019912	0	0	3
68	44	0	0.990547264	300.000037	300.000034	300.000031	300.000037	6.52651613e-006	0	0	0.0201384	0	0	3
69	45	0	1.00511414	300.000037	300.000034	300.000031	300.000037	6.40789841e-006	3.00000037e-006	46.8	0.0198763	0	0	3
70	45	0	1.01968101	300.000038	300.000034	300.000031	300.000038	6.26003725e-006	3.00000038e-006	47.9	0.0200985	0	0	3
71	46	0	1.03424788	300.000038	300.000035	300.000032	300.000038	6.11874566e-006	3.00000038e-006	49	0.0198631	0	0	3
